"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000003";-1,7625999363205;1,38031996367445e-20;9,70076030284697e-20;"TSPAN6";"X";100627108;100637104;"-";9997;"protein_coding";"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"ENSG00000001617";-1,28213308994101;1,92785156824559e-06;5,32272772687874e-06;"SEMA3F";"3";50155045;50189075;"+";34031;"protein_coding";"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"ENSG00000001630";-1,19893123724899;5,58841631173565e-19;3,61139453799993e-18;"CYP51A1";"7";92112149;92134745;"-";22597;"protein_coding";"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"ENSG00000002330";-1,12844171036088;4,6070055116175e-06;1,22204019483872e-05;"BAD";"11";64269828;64284704;"-";14877;"protein_coding";"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"ENSG00000003147";-4,53716102331437;1,34511828976437e-84;5,4529783156521e-83;"ICA1";"7";8113184;8262687;"-";149504;"protein_coding";"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"ENSG00000003249";-2,89185726312603;3,05527169842717e-106;1,80076847161553e-104;"DBNDD1";"16";90004865;90020131;"-";15267;"protein_coding";"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]"
"ENSG00000003989";-7,33310505185446;2,85265106862835e-07;8,47585152157165e-07;"SLC7A2";"8";17494349;17570568;"+";76220;"protein_coding";"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004059";-2,17202704512173;3,39932403699989e-64;9,41669413649587e-63;"ARF5";"7";127588352;127591705;"+";3354;"protein_coding";"ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ENSG00000004838";-2,25899205527008;0,0192481981512951;0,0321047969365456;"ZMYND10";"3";50341106;50345746;"-";4641;"protein_coding";"zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
"ENSG00000004948";-8,38221471274106;4,15334125631303e-07;1,21515023800702e-06;"CALCR";"7";93424487;93574730;"-";150244;"protein_coding";"calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]"
"ENSG00000005001";-8,99333225462759;1,44954347480783e-08;4,83113336570702e-08;"PRSS22";"16";2852727;2858630;"-";11328;"protein_coding";"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000005075";-1,36291506374611;5,73014599936534e-25;4,86418573316912e-24;"POLR2J";"7";102473100;102478934;"-";5835;"protein_coding";"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]"
"ENSG00000005243";-5,24949194150891;1,44861705322185e-37;1,97033257296239e-36;"COPZ2";"17";48026167;48048086;"-";21920;"protein_coding";"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005339";-1,34849644326051;5,97109367837899e-24;4,86259421990873e-23;"CREBBP";"16";3725054;3880727;"-";155674;"protein_coding";"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"ENSG00000005486";-2,0864144780087;8,15159669381247e-58;1,88701516222642e-56;"RHBDD2";"7";75878992;75888926;"+";9935;"protein_coding";"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]"
"ENSG00000005882";-1,54710160258116;5,74157961307381e-13;2,65823940804735e-12;"PDK2";"17";50094737;50111369;"+";16633;"protein_coding";"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
"ENSG00000005961";-2,98196958825974;0,000449500520334895;0,000955634196531886;"ITGA2B";"17";44372181;44389601;"-";17421;"protein_coding";"integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
"ENSG00000006007";-1,32779313746407;2,53222039873689e-27;2,36316873932655e-26;"GDE1";"16";19501693;19522145;"-";20453;"protein_coding";"glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
"ENSG00000006016";-5,1683222120736;3,570967313388e-30;3,70724845195639e-29;"CRLF1";"19";18593225;18606850;"-";13626;"protein_coding";"cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]"
