"NAME";"GENE_SYMBOL";"GENE_TITLE";"SCORE"
"ENSG00000117983";"MUC5B";"mucin 5B, oligomeric mucus/gel-forming";157,769916691974
"ENSG00000081277";"PKP1";"plakophilin 1";146,408104159148
"ENSG00000145681";"HAPLN1";"hyaluronan and proteoglycan link protein 1";118,612268493672
"ENSG00000131746";"TNS4";"tensin 4";109,950048046181
"ENSG00000206075";"SERPINB5";"serpin family B member 5";106,498968226249
"ENSG00000169908";"TM4SF1";"transmembrane 4 L six family member 1";104,707405977727
"ENSG00000261713";"SSTR5-AS1";"SSTR5 antisense RNA 1";103,180128196366
"ENSG00000153292";"ADGRF1";"adhesion G protein-coupled receptor F1";102,059479470448
"ENSG00000221867";"MAGEA3";"MAGE family member A3";102,040932195962
"ENSG00000106541";"AGR2";"anterior gradient 2, protein disulphide isomerase family member";100,463085409634
"ENSG00000123496";"IL13RA2";"interleukin 13 receptor subunit alpha 2";99,4613058548288
"ENSG00000197172";"MAGEA6";"MAGE family member A6";99,2722165677656
"ENSG00000197956";"S100A6";"S100 calcium binding protein A6";92,4053227085981
"ENSG00000255248";"MIR100HG";"mir-100-let-7a-2-mir-125b-1 cluster host gene";88,991652482999
"ENSG00000180176";"TH";"tyrosine hydroxylase";87,3400575678427
"ENSG00000134193";"REG4";"regenerating family member 4";85,9451181527391
"ENSG00000169255";"B3GALNT1";"beta-1,3-N-acetylgalactosaminyltransferase 1 (Globoside blood group)";85,8797115189265
"ENSG00000178814";"OPLAH";"5-oxoprolinase, ATP-hydrolysing";81,7854553975657
"ENSG00000109511";"ANXA10";"annexin A10";81,5561005710492
"ENSG00000121895";"TMEM156";"transmembrane protein 156";80,7451878773754
"ENSG00000175592";"FOSL1";"FOS like 1, AP-1 transcription factor subunit";80,3512106003693
"ENSG00000160181";"TFF2";"trefoil factor 2";80,3465648660614
"ENSG00000138207";"RBP4";"retinol binding protein 4";79,6549540122345
"ENSG00000134363";"FST";"follistatin";79,5390963793466
"ENSG00000144063";"MALL";"mal, T cell differentiation protein like";79,142770162757
"ENSG00000214814";"FER1L6";"fer-1 like family member 6";77,9174300847334
"ENSG00000261327";"LOC105371401";"uncharacterized LOC105371401";77,0309982509217
"ENSG00000010438";"PRSS3";"serine protease 3";76,9281748053871
"ENSG00000169247";"SH3TC2";"SH3 domain and tetratricopeptide repeats 2";75,796361611495
"ENSG00000261780";"LINC02582";"long intergenic non-protein coding RNA 2582";75,6244792057192
"ENSG00000182836";"PLCXD3";"phosphatidylinositol specific phospholipase C X domain containing 3";75,3391754871304
"ENSG00000167880";"EVPL";"envoplakin";75,0952924974401
"ENSG00000170454";"KRT75";"keratin 75";74,9478586388653
"ENSG00000072657";"TRHDE";"thyrotropin releasing hormone degrading enzyme";74,2328504976878
"ENSG00000170442";"KRT86";"keratin 86";74,1567474562417
"ENSG00000116745";"RPE65";"retinoid isomerohydrolase RPE65";72,8542221530644
"ENSG00000135477";"KRT87P";"keratin 87, pseudogene";72,7202756596771
"ENSG00000154764";"WNT7A";"Wnt family member 7A";72,4773987311685
"ENSG00000163814";"CDCP1";"CUB domain containing protein 1";70,5760468923126
"ENSG00000124102";"PI3";"peptidase inhibitor 3";70,0435097980624
"ENSG00000188643";"S100A16";"S100 calcium binding protein A16";69,9374011724807
"ENSG00000111335";"OAS2";"2'-5'-oligoadenylate synthetase 2";69,267366084471
"ENSG00000117598";"PLPPR5";"phospholipid phosphatase related 5";69,1749155532567
"ENSG00000127324";"TSPAN8";"tetraspanin 8";68,3292458654366
"ENSG00000109610";"SOD3";"superoxide dismutase 3";68,1026964795737
"ENSG00000107984";"DKK1";"dickkopf WNT signaling pathway inhibitor 1";67,7984888009273
"ENSG00000089127";"OAS1";"2'-5'-oligoadenylate synthetase 1";67,1504562001162
"ENSG00000179913";"B3GNT3";"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3";65,8933095088746
"ENSG00000168765";"GSTM4";"glutathione S-transferase mu 4";64,3308907168942
"ENSG00000167767";"KRT80";"keratin 80";64,2557471685767
"ENSG00000163993";"S100P";"S100 calcium binding protein P";63,1539939267675
"ENSG00000179083";"FAM133A";"family with sequence similarity 133 member A";62,3129093130174
"ENSG00000187678";"SPRY4";"sprouty RTK signaling antagonist 4";60,0783707335266
"ENSG00000282826";"FRG1CP";"FSHD region gene 1 family member C, pseudogene";60,0052013834177
"ENSG00000125538";"IL1B";"interleukin 1 beta";59,779852459319
"ENSG00000172927";"MYEOV";"myeloma overexpressed";58,8266713107432
"ENSG00000144057";"ST6GAL2";"ST6 beta-galactoside alpha-2,6-sialyltransferase 2";57,4185556765783
"ENSG00000257842";"NOVA1-DT";"NOVA1 divergent transcript";56,7073777494125
"ENSG00000231298";"MANCR";"mitotically associated long non coding RNA";56,5521303663681
"ENSG00000259974";"LINC00261";"long intergenic non-protein coding RNA 261";56,3958442141832
"ENSG00000086696";"HSD17B2";"hydroxysteroid 17-beta dehydrogenase 2";56,2385042100798
"ENSG00000198930";"CSAG1";"chondrosarcoma associated gene 1";56,185820697032
"ENSG00000104783";"KCNN4";"potassium calcium-activated channel subfamily N member 4";55,8851480031325
"ENSG00000148671";"ADIRF";"adipogenesis regulatory factor";55,3090020171321
"ENSG00000058866";"DGKG";"diacylglycerol kinase gamma";54,433533500559
"ENSG00000237457";"BRINP3-DT";"BRINP3 divergent transcript";53,2283560755364
"ENSG00000115648";"MLPH";"melanophilin";52,7397126208295
"ENSG00000100979";"PLTP";"phospholipid transfer protein";52,4484735265085
"ENSG00000162723";"SLAMF9";"SLAM family member 9";52,0596445728098
"ENSG00000259129";"LINC00648";"long intergenic non-protein coding RNA 648";51,6777156163952
"ENSG00000126010";"GRPR";"gastrin releasing peptide receptor";51,3996756243571
"ENSG00000189143";"CLDN4";"claudin 4";51,1908547365501
"ENSG00000240476";"LINC00973";"long intergenic non-protein coding RNA 973";51,0924320174661
"ENSG00000170396";"ZNF804A";"zinc finger protein 804A";50,9602777243415
"ENSG00000167600";"CYP2S1";"cytochrome P450 family 2 subfamily S member 1";50,3557659724718
"ENSG00000111700";"SLCO1B3";"solute carrier organic anion transporter family member 1B3";50,1826976737532
"ENSG00000108846";"ABCC3";"ATP binding cassette subfamily C member 3";50,1042606136359
"ENSG00000231175";"LINC01720";"long intergenic non-protein coding RNA 1720";49,8043666369119
"ENSG00000154678";"PDE1C";"phosphodiesterase 1C";49,4701172505132
"ENSG00000274391";"TPTE";"transmembrane phosphatase with tensin homology";49,452689627073
"ENSG00000101188";"NTSR1";"neurotensin receptor 1";48,9586588820277
"ENSG00000171346";"KRT15";"keratin 15";48,8781699847212
"ENSG00000168453";"HR";"HR lysine demethylase and nuclear receptor corepressor";48,8229322864982
"ENSG00000189056";"RELN";"reelin";48,6965380540055
"ENSG00000168685";"IL7R";"interleukin 7 receptor";48,4372861349884
"ENSG00000174080";"CTSF";"cathepsin F";48,4372861349884
"ENSG00000205628";"LINC01446";"long intergenic non-protein coding RNA 1446";47,7860932111505
"ENSG00000168447";"SCNN1B";"sodium channel epithelial 1 subunit beta";47,7095073593701
"ENSG00000156113";"KCNMA1";"potassium calcium-activated channel subfamily M alpha 1";47,4707047500607
"ENSG00000122420";"PTGFR";"prostaglandin F receptor";47,369766157092
"ENSG00000261371";"PECAM1";"platelet and endothelial cell adhesion molecule 1";47,2941077864037
"ENSG00000205336";"ADGRG1";"adhesion G protein-coupled receptor G1";47,2941077864037
"ENSG00000261742";"LINC00922";"long intergenic non-protein coding RNA 922";47,1657831599565
"ENSG00000162494";"LRRC38";"leucine rich repeat containing 38";47,0079194646397
"ENSG00000138722";"MMRN1";"multimerin 1";46,9285576771404
"ENSG00000128510";"CPA4";"carboxypeptidase A4";46,9285576771404
"ENSG00000175832";"ETV4";"ETS variant transcription factor 4";46,7689628684842
"ENSG00000173210";"ABLIM3";"actin binding LIM protein family member 3";46,7434804395856
"ENSG00000117472";"TSPAN1";"tetraspanin 1";46,2830394535026
"ENSG00000166396";"SERPINB7";"serpin family B member 7";46,2830394535026
"ENSG00000198542";"ITGBL1";"integrin subunit beta like 1";46,1324611397922
"ENSG00000166049";"PASD1";"PAS domain containing repressor 1";45,8696307748845
"ENSG00000213145";"CRIP1";"cysteine rich protein 1";45,8696307748845
"ENSG00000278970";"HEIH";"hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA";45,7859939968554
"ENSG00000237807";"LINC02984";"long intergenic non-protein coding RNA 2984";45,1912921666814
"ENSG00000160182";"TFF1";"trefoil factor 1";45,1049799070347
