gene_id;SHSY5Y_b (SRR4098610);A431_a (SRR629557);U-251 MG_a (SRR629561);U-251 MG_b (SRR629562);U2OS_a (SRR629563);A-549_a (SRR629564);A-549_b (SRR629565);CACO-2_a (SRR629566);CACO-2_b (SRR629568);HEK 293_b (SRR629570);Hep-G2_a (SRR629573);MCF-7_a (SRR629577);MCF-7_b (SRR629578);PC3_a (SRR629581);gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;description
ENSG00000176595;815;384;3;2;62;97;95;124;203;163;2;96;105;0;KBTBD11;NC_000008.11;NT_187576.1;1970718;157254;2006943;190319;+;+;69292;protein_coding;"kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]"
ENSG00000030419;106;518;106;18;266;29;50;24;44;25;33;275;369;84;IKZF2;NC_000002.12;212999684;213155297;-;155614;protein_coding;"IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]"
ENSG00000289047;128;213;240;99;100;113;123;44;72;231;129;61;119;87;LOC100294145;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;32894176;4198998;4306371;4137694;4313525;4193202;4088459;4293383;32903758;4208587;4315954;4147277;4323107;4202791;4098041;4302974;+;+;+;+;+;+;+;+;76689;lncRNA;"novel transcript"
ENSG00000204681;271;230;237;115;185;58;95;68;78;175;6;60;91;83;GABBR1;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;29602228;867953;1088708;867777;867409;867623;867740;29633135;898852;1119616;898685;898284;898528;898648;-;-;-;-;-;-;-;216317;protein_coding;"gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]"
ENSG00000165714;177;171;152;63;80;80;84;131;188;139;53;106;134;66;BORCS5;NC_000012.12;NW_011332696.1;12357078;326077;12471221;440224;+;+;228292;protein_coding;"BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]"
ENSG00000248905;88;383;221;81;138;140;173;12;18;9;7;91;93;17;FMN1;NC_000015.10;NW_011332701.1;NW_012132920.1;NT_187660.1;32765544;4817689;2283958;4980141;33194765;4978294;2352906;5140746;-;-;-;-;819383;protein_coding;"formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]"
ENSG00000204248;89;41;16;0;44;34;22;97;128;225;0;170;209;11;COL11A2;NC_000006.12;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;33162692;4574200;4406191;4582165;4598650;4357096;4611338;33193009;4603975;4435967;4611940;4628424;4386871;4638116;-;-;-;-;-;-;-;205977;protein_coding;"collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]"
ENSG00000128655;173;0;38;5;57;25;47;4;6;94;286;30;33;10;PDE11A;NC_000002.12;177623249;178108339;-;485091;protein_coding;"phosphodiesterase 11A [Source:HGNC Symbol;Acc:HGNC:8773]"
ENSG00000185352;143;0;44;24;15;0;0;0;0;168;0;140;175;6;HS6ST3;NC_000013.11;96090634;96839562;+;748929;protein_coding;"heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]"
ENSG00000197935;0;143;112;42;151;10;12;20;19;0;0;49;87;57;ZNF311;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167248.2;NT_167249.2;28994785;260409;481255;260388;260343;260363;304250;29005668;271235;492090;271213;271168;271188;314971;-;-;-;-;-;-;-;75747;protein_coding;"zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]"
ENSG00000115598;0;658;0;0;0;0;0;0;0;0;3;0;0;0;IL1RL2;NC_000002.12;102186973;102242910;+;55938;protein_coding;"interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]"
ENSG00000221843;57;90;98;27;76;63;38;43;44;15;61;13;20;0;C2orf16;NC_000002.12;27576522;27582722;+;6201;protein_coding;"SPATA31 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:25275]"
ENSG00000176945;22;426;8;18;13;9;0;2;12;11;10;28;35;7;MUC20;NC_000003.12;NT_187532.1;NT_187649.1;NT_187678.1;NT_187688.1;NT_187689.1;NT_187690.1;NT_187691.1;195720882;91379;61183;62491;61183;91379;61190;61318;195733553;104050;73319;75162;73318;104050;73313;73536;+;+;-;-;-;+;-;-;99304;protein_coding;"mucin 20
ENSG00000171044;145;2;125;29;28;0;0;0;0;92;0;36;70;72;XKR6;NC_000008.11;NW_018654717.1;10893764;2145559;11201410;2451094;-;+;613183;protein_coding;"XK related 6 [Source:HGNC Symbol;Acc:HGNC:27806]"
ENSG00000213654;64;21;89;41;161;8;18;17;20;34;42;8;6;52;GPSM3;NC_000006.12;NT_167244.2;NT_113891.3;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;32190766;3523365;3629115;3495744;3532782;3413965;3506971;32195523;3528122;3633872;3500501;3537539;3418722;3511728;-;-;-;-;-;-;-;33306;protein_coding;"G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:13945]"
ENSG00000204390;22;32;13;0;14;48;44;70;81;135;31;15;29;34;HSPA1L;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167248.2;31809619;3142241;3286871;3057398;3065448;31815058;3147680;3292309;3062837;3070886;-;-;-;-;-;27198;protein_coding;"heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]"
ENSG00000174125;152;34;54;26;32;108;110;3;0;33;5;0;0;6;TLR1;NC_000004.12;38791055;38806262;-;15208;protein_coding;"toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]"
ENSG00000160229;59;0;240;67;0;0;0;21;24;23;12;33;37;41;ZNF66;NC_000019.10;NW_003315962.1;20776249;113109;20809995;146964;+;+;67603;protein_coding;"zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]"
ENSG00000204314;81;43;0;5;48;13;15;53;54;53;63;44;60;20;PRRT1;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;32148328;3480961;3586700;3389726;3453364;3490378;3371560;3464567;32153626;3484541;3590280;3393306;3456944;3493958;3375140;3468147;-;-;-;-;-;-;-;-;30366;protein_coding;"proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]"
ENSG00000158352;0;0;190;54;5;0;0;136;135;0;18;3;3;0;SHROOM4;NC_000023.11;50575534;50814164;-;238631;protein_coding;"shroom family member 4 [Source:HGNC Symbol;Acc:HGNC:29215]"
ENSG00000170379;0;305;16;9;15;4;7;3;3;15;4;14;25;101;TCAF2;NC_000007.14;NW_018654714.1;143620952;244433;143730086;274399;+;+;139102;protein_coding;"TRPM8 channel associated factor 2 [Source:HGNC Symbol;Acc:HGNC:26878]"
ENSG00000074966;39;263;23;0;0;9;13;13;19;26;3;0;3;92;TXK;NC_000004.12;48063504;48135322;-;71819;protein_coding;"TXK tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12434]"
ENSG00000204301;336;3;32;14;33;0;0;0;5;21;10;17;10;11;NOTCH4;NC_000006.12;NT_167244.2;NT_113891.3;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;32194843;3527442;3633192;3499821;3536859;3418042;3511048;32224067;3537008;3662414;3529069;3566106;3447269;3540275;-;-;-;-;-;-;-;184968;protein_coding;"notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]"
ENSG00000204257;21;104;1;5;2;62;86;0;13;73;25;34;49;16;HLA-DMA;NC_000006.12;NT_167244.2;NT_113891.3;NT_167245.2;NT_167246.2;NT_167247.2;NT_167248.2;NT_167249.2;32948614;4253461;4360811;4192144;4367982;4247659;4142921;4347849;32953122;4257972;4365322;4196655;4372491;4252170;4147432;4352360;-;-;-;-;-;-;-;-;36091;protein_coding;"major histocompatibility complex
ENSG00000158445;193;0;0;11;144;13;14;7;3;4;0;26;26;46;KCNB1;NC_000020.11;49363877;49484033;-;120157;protein_coding;"potassium voltage-gated channel subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:6231]"
ENSG00000159450;0;23;23;10;76;16;12;29;79;9;0;86;99;18;TCHH;NC_000001.11;152106317;152115454;-;9138;protein_coding;"trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]"
ENSG00000164604;111;0;239;68;42;0;0;0;0;3;0;0;0;14;GPR85;NC_000007.14;113080413;113087778;-;7366;protein_coding;"G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]"
ENSG00000185245;17;9;20;12;8;37;78;44;94;65;0;13;33;21;GP1BA;NC_000017.11;4932275;4935030;+;2756;protein_coding;"glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]"
